validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
True,McGinnis Sisters,Market,"4311 Northern Pike, Monroeville, PA",http://www.mcginnis-sisters.com/,"Friday Feb 16 from 9:00 AM to 7:00 PM, Friday Feb 23 from 9:00 AM to 7:00 PM, Friday Mar 2 from 9:00 AM to 7:00 PM, Friday Mar 9 from 9:00 AM to 7:00 PM, Friday Mar 16 from 9:00 AM to 7:00 PM, Friday Mar 23 from 9:00 AM to 7:00 PM, Friday Mar 30 from 9:00 AM to 7:00 PM",MON-SAT 9 AM - 7 PM/SUN 9 AM - 6 PM,,,,412-858-7000,,True,True,,True,True,True,,40.435043,-79.753389
False,Holy Cross (Reilly Center),Church,"7100 West Ridge Road, Fairview PA",,,,,"Fried pollack, fried shrimp, or combo. Adult $10, Child $5. Includes baked potato, homemade coleslaw, roll, butter, dessert, and beverage. Mac and cheese $5. ",,814-474-2605,,,True,,,,False,256.0,42.03971,-80.245022
True,Hartford Heights Volunteer Fire Department,Fire Department,"14335 U.S. 30, Irwin, PA 15642",https://www.facebook.com/HHVFD/,"Friday Mar 16 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM, Friday Mar 30 from 4:00 PM to 7:00 PM, Friday Feb 16 from 4:00 PM to 7:00 PM, Friday Feb 23 from 4:00 PM to 7:00 PM, Friday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 9 from 4:00 PM to 7:00 PM",,https://www.facebook.com/photo.php?fbid=1885613354784664&set=gm.2086300038274058&type=3&theater,,,412-824-9972,,,True,True,False,,True,,40.352969,-79.767295
True,Beaver Valley Yacht Club,Community Organization,"219 Front Street, New Brighton, Pennsylvania 15066, United States",https://www.beavervalleyyachtclub.org/,"Friday Feb 16 from 12:00 PM to 7:00 PM, Friday Feb 23 from 12:00 PM to 7:00 PM, Friday Mar 2 from 12:00 PM to 7:00 PM, Friday Mar 9 from 12:00 PM to 7:00 PM, Friday Mar 16 from 12:00 PM to 7:00 PM, Friday Mar 23 from 12:00 PM to 7:00 PM, Friday Mar 30 from 12:00 PM to 7:00 PM","Beginning February 16, running every Friday through Good Friday Times: 12 noon-7 p.m.",,"Menu & Cost:
Eat in or take out. Adult Fish Dinner (Cod or Perch) $9, Adult Shrimp Dinner $9.25, Adult Chicken Tenders Dinner $8.50, Fish Sandwich (Cod or Perch) $7.25-Senior (60+) and Child pricing available. Dinners incl. 3 sides & roll -- Sandwich incl. 1 side. Sides: Cole Slaw, French Fries, Mac & Cheese. All incl. sales tax and coffee or hot tea. **Cash Only** Cash bar available.
",Clubhouse at top of driveway,(724) 847-4663,,,True,True,True,,True,,40.724576,-80.309452
True,"Our Lady of Joy, Holiday Park",Church,"2000 O'Block Road Holiday Park, PA",http://www.ourladyofjoy.org,"Friday Feb 16 from 4:00 PM to 7:00 PM, Friday Feb 23 from 4:00 PM to 7:00 PM, Friday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 9 from 4:00 PM to 7:00 PM, Friday Mar 16 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM, Friday Mar 30 from 4:00 PM to 7:00 PM","Ash Wednesday and Fridays of Lent, including Good Friday, 4-7 p.m",,"Menu is a la carte, and features fried or baked fish, cole slaw, grilled cheese, haluski, macaroni and cheese, french fries, soft drinks, coffee and variety of desserts. Sandwiches are $7. Free ice cream for children. ",The Fish Fry is in Father Marchukanis Hall.,412-795-3388,,,,,,True,True,,40.480007,-79.719563
True,St Alphonsus Wheeling And St John Benwood Combined Fish Fry,Church,"2111 Market St, Wheeling, WV",https://www.facebook.com/StAlphonsusWheelingWV/,"Wednesday Feb 14 from 11:00 AM to 6:00 PM, Friday Feb 16 from 11:00 AM to 6:00 PM, Friday Feb 23 from 11:00 AM to 6:00 PM, Friday Mar 2 from 11:00 AM to 6:00 PM, Friday Mar 9 from 11:00 AM to 6:00 PM, Friday Mar 16 from 11:00 AM to 6:00 PM, Friday Mar 23 from 11:00 AM to 6:00 PM",,,"Menu consists of fish sandwiches, french fries, macaroni and cheese, cabbage and noodles, cole slaw, deserts, and refreshments. Eat in or take out.",,304-905-6589 takeout,,False,True,,True,,True,,40.060984,-80.723752
True,St. Mary of the Mount Church - Sullivan Hall,Church,"131 Bigham, Pittsburgh, PA",http://www.smomp.org,"Friday Feb 16 from 4:30 PM to 7:30 PM, Friday Feb 23 from 4:30 PM to 7:30 PM, Friday Mar 2 from 4:30 PM to 7:30 PM, Friday Mar 9 from 4:30 PM to 7:30 PM, Friday Mar 16 from 4:30 PM to 7:30 PM, Friday Mar 23 from 4:30 PM to 7:30 PM, Friday Mar 30 from 4:30 PM to 7:30 PM","Fridays of Lent, including Good Friday, 4:30-7:30 p.m.",,"Menu features fried and baked fish dinners, shrimp dinner, homemade pierogies, macaroni and cheese, cole slaw, soups and dessert. Costs: $10 adults; $9 seniors; $5 child; $8 sandwich. ",Sullivan Hall,412-390-4011,,True,True,,False,True,True,,40.435178,-80.014238
True,Ancient Order of Hibernians,Community Organization,"302 Mansfield Avenue Carnegie, Pa. 15106",http://www.aohdivision32.org/,,Every Friday beginning with 2/16 thru Good Friday/,,"Great fish, haluska, Mac and cheese, shrimp....reasonable prices and alcohol if desired.
","Ukaranian American Citizens Club, Social Hall dining room",xxx-xxx-xxxx,aohdiv32@gmail.com,False,,True,False,,True,,40.41042,-80.090892
False,Bridgeville Volunteer Fire Department,Fire Department,"370 Commercial Street, Bridgeville, PA",http://www.bridgevillevfd.com/2017fishfrymenu.pdf,"Friday Mar 30 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM, Friday Mar 16 from 4:00 PM to 7:00 PM","4-7 pm biweekly: March 3, 17, 31; April 14",,see website link,,xxx-xxx-xxxx,,,,False,False,,False,95.0,40.362,-80.106939
True,Christ the Light of the World,Church,"32 S 1st St, Duquesne, PA 15110",https://www.christthelightoftheworld.org/,"Friday Feb 16 from 4:00 PM to 7:00 PM, Friday Feb 23 from 4:00 PM to 7:00 PM, Friday Mar 9 from 4:00 PM to 7:00 PM, Friday Mar 16 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM",Come enjoy our Parish Fish Fry every Friday in Lent EXCEPT March 2 and Good FridayEat in or Take-out (call 412-466-8960.)  Local delivery available.,,"Cod Fish Sandwich, Jumbo Shrimp, Mac & Cheese, Waffle Fries, Haluski,  Potato Pancakes, Cole Slaw and Home Made Desserts.",,412-466-8960,,,True,False,True,,True,,40.372447,-79.845755
